currency pair id,last trade price,lowest ask,highest bid,percent change in last 24 hours,base currency volume in last 24 hours,quote currency volume in last 24 hours,is frozen,highest trade price in last 24 hours,lowest trade price in last 24 hours,post only,maintenance mode,timestamp
149,2423.37951485,2428.87059300,2426.04160146,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409254.4119718
121,35994.96850631,36002.55400505,35988.53466369,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409255.1207488
149,2423.37951485,2428.48497356,2426.25090701,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409255.1211743
121,35994.96850631,36002.55400505,35990.33444092,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409255.8120892
149,2423.37951485,2428.36360515,2426.25091701,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409255.8125277
121,35994.96850631,36005.89871929,35992.13427314,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409256.5152652
149,2423.37951485,2428.24223978,2426.37228238,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409256.5156662
121,35994.96850631,36005.89871929,35993.93422396,0.04944074,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409257.2206242
149,2423.37951485,2428.12087440,2426.37229239,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409257.2208734
121,35993.93422396,36004.09872347,35995.73423978,0.05084940,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409257.8169668
149,2423.37951485,2427.99951206,2426.49365471,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409257.8171592
121,35993.93422396,36004.09872347,35997.53423560,0.05084940,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409258.509467
149,2423.37951485,2427.87814670,2426.61502704,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409258.5096846
121,35993.93422396,36004.09863347,35999.33432143,0.05084940,32522173.07048369,922.08878756,0,36469.61260000,33400.00000000,0,0,1622409259.1189744
149,2423.37951485,2427.87814670,2426.61503704,0.07788704,20040472.33251867,8535.25851893,0,2475.03247464,2180.81000000,0,0,1622409259.823426
121,35993.93422396,36004.09863347,35999.33432143,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409260.5108275
149,2423.37951485,2427.63855839,2426.73639937,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409260.511115
121,35993.93422396,36004.09863347,35999.33433143,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409261.1221547
149,2423.37951485,2427.63855839,2426.85776874,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409261.122351
121,35993.93422396,36004.09863347,36001.13441725,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409261.847275
149,2423.37951485,2427.87814670,2426.85776874,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409262.5501757
121,35993.93422396,36002.29850265,36001.13441725,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409263.147872
149,2423.37951485,2427.87814670,2426.85777874,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409263.1482675
121,35993.93422396,36002.29850265,35993.01436661,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409263.8662987
149,2423.37951485,2427.87814670,2426.85776874,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409263.8665612
121,35993.93422396,36002.29850265,36002.29850264,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409264.5669973
121,35993.93422396,36002.29850265,35993.01436661,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409265.160754
149,2423.37951485,2427.82074590,2426.61220904,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409265.1610563
121,35993.93422396,36000.63722654,35996.49894840,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409265.952008
149,2423.37951485,2426.93436475,2426.21369677,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409265.9522603
121,35993.93422396,35998.83729814,35998.29887680,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409266.6744761
149,2423.37951485,2427.14457298,2426.21369677,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409266.6748183
121,35993.93422396,35996.62084176,35988.59522477,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409267.35935
149,2423.37951485,2427.14457298,2426.33504074,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409267.4789824
121,35993.93422396,35996.62084176,35990.39486517,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409268.1760237
149,2423.37951485,2428.60634499,2426.57789696,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409268.1763082
121,35993.93422396,35996.62084176,35992.19455056,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409268.8612962
149,2423.37951485,2427.37909858,2426.57789696,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409268.9645615
121,35993.93422396,35996.62084176,35993.99428094,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409269.6592839
121,35993.93422396,35996.62084176,35995.79405632,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409270.960901
121,35993.93422396,35996.62084176,35995.79406632,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409271.7635963
121,35993.93422396,35996.62084175,35996.62084174,0.05084940,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409272.472343
149,2423.37951485,2427.37909858,2426.57790696,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409272.472626
149,2423.37951485,2427.37909858,2426.69925588,0.07788704,20040457.81233055,8535.25206208,0,2475.03247464,2180.81000000,0,0,1622409273.1746655
121,35996.62084174,35996.62084175,35996.62084174,0.05032156,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409273.7669148
121,35996.62084174,36002.29850265,35996.62084174,0.05032156,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409275.8892465
121,35996.62084174,36002.29850264,35996.62084174,0.05032156,32520368.59412784,922.03605826,0,36469.61260000,33400.00000000,0,0,1622409276.5901148
